"PPN","physischePPN"
"PPN1046213636","PPN419866191"
"PPN647201941","PPN407029990"
"PPN722306393","PPN597730679"
"PPN1780730454","PPN558284760"
"PPN723540519","PPN491321716"
"PPN750527269","PPN361038682"
"PPN670472441","PPN144044692"
"PPN749906073","PPN536907129"
"PPN834852926","PPN833261371"
"PPN758469152","PPN537294317"
"PPN1003468233","PPN536534527"
"PPN730609987","PPN427790328"
"PPN738518700","PPN568088115"
"PPN768992516","PPN567505138"
"PPN684641682","PPN311019811"
"PPN614265282","PPN405936451"
"PPN1015685528","PPN567559459"
"PPN835091252","PPN53591606X"
"PPN842138404","PPN248940406"
"PPN1667673548","PPN226045846"
"PPN683005332","PPN53658429X"
"PPN1669406822","PPN496650572"
"PPN749946024","PPN35326198X"
"PPN816921121","PPN197972713"
"PPN749823135","PPN231010850"
"PPN685104702","PPN536550689"
"PPN619074760","PPN474501108"
"PPN749747390","PPN537137440"
"PPN638103134","PPN09185136X"
"PPN876740840","PPN876740840"
"PPN766241335","PPN236371215"
"PPN826826709","PPN567595633"
"PPN746654227","PPN567795306"
"PPN770489567","PPN157150216"
"PPN618439579","PPN407643583"
"PPN743985346","PPN13018411X"
"PPN755444744","PPN417986998"
"PPN610392786","PPN431938911"
"PPN175713770X","PPN1757136053"
"PPN720381967","PPN452130964"
"PPN890890374","PPN535738994"
"PPN624572919","PPN536630658"
"PPN719286247","PPN536616256"
"PPN840791526","PPN568190327"
"PPN786795875","PPN567690954"
"PPN1032330279","PPN536560706"
"PPN746480326","PPN431978034"
"PPN796869111","PPN567375234"
"PPN654208166","PPN639442730"
"PPN828587922","PPN09897386X"
"PPN671080822","PPN317657399"
"PPN739823701","PPN739823701"
"PPN898736293","PPN24455563X"
"PPN1041136870","PPN31051049X"
"PPN783850468","PPN56768637X"
"PPN815245637","PPN091842484"
"PPN656160489","PPN47791036X"
"PPN1811287778","PPN549229108"
"PPN800993624","PPN800431960"
"PPN756481406","PPN567620956"
"PPN689217366","PPN437525643"
"PPN1688513965","PPN388406097"
"PPN817680020","PPN478695888"
"PPN860537722","PPN860528308"
"PPN684671840","PPN535739346"
"PPN719932378","PPN240772555"
"PPN75076175X","PPN567678628"
"PPN629525358","PPN434644870"
"PPN729571548","PPN625163184"
"PPN630876703","PPN428486088"
"PPN736361863","PPN409476862"
"PPN746524137","PPN745268315"
"PPN880854499","PPN267690053"
"PPN721574319","PPN249137003"
"PPN791608417","PPN641544294"
"PPN83192117X","PPN537314474"
"PPN659093952","PPN536582254"
"PPN663780454","PPN091877547"
"PPN3371389774","PPN337134388X"
"PPN1665838582","PPN862454697"
"PPN1043350683","PPN53666787X"
"PPN664193463","PPN339789840"
"PPN730683605","PPN092299431"
"PPN780591976","PPN342921630"
"PPN872012433","PPN269041494"
"PPN868300993","PPN74762366X"
"PPN656726849","PPN445424281"
"PPN840925212","PPN323855989"
"PPN635707217","PPN433894288"
"PPN892654198","PPN317733559"
"PPN869216384","PPN683636553"
"PPN740000039","PPN536616671"
"PPN667093451","PPN351927131"
"PPN1820216578","PPN1681148609"
"PPN688381057","PPN334822505"
"PPN687487382","PPN687485223"
"PPN1003405010","PPN390414417"
"PPN1774492989","PPN1159434638"
"PPN868573604","PPN747638365"
"PPN815349718","PPN454587325"
"PPN847688003","PPN842228535"
"PPN832864188","PPN536217254"
"PPN1826848320","PPN1663518602"
"PPN723736723","PPN567636542"
"PPN734627769","PPN536765197"
"PPN726884251","PPN442492111"
"PPN83759927X","PPN230633447"
"PPN654800847","PPN335229735"
"PPN826913628","PPN360568211"
"PPN73533353X","PPN42778672X"
"PPN741148161","PPN135981522"
"PPN703650440","PPN536552169"
"PPN1778320872","PPN1778315062"
"PPN806961694","PPN568220412"
"PPN659127784","PPN53660777X"
"PPN685798240","PPN536539421"
"PPN800469887","PPN568133684"
"PPN847180204","PPN537310118"
"PPN69727120X","PPN187003270"
"PPN789618532","PPN567441865"
"PPN585530564","PPN53650461X"
"PPN600449882","PPN092184723"
"PPN1692485725","PPN444852301"
"PPN631245510","PPN535784821"
"PPN1839440678","PPN1839158980"
"PPN636781569","PPN09231063X"
"PPN86859914X","PPN747638314"
"PPN876729626","PPN536541191"
"PPN77705812X","PPN454076207"
"PPN634179632","PPN483173290"
"PPN87134095X","PPN567393437"
"PPN876311311","PPN567536270"
"PPN1668339056","PPN372771718"
"PPN1782592962","PPN35655306X"
"PPN625870700","PPN242417957"
"PPN815878931","PPN27172028X"
"PPN859350657","PPN859350657"
"PPN878103473","PPN482784326"
"PPN637246373","PPN536633134"
"PPN770345182","PPN448082314"
"PPN646784056","PPN145786757"
"PPN769182771","PPN53662951X"
"PPN832537063","PPN567540073"
"PPN1677285788","PPN369822072"
"PPN1814561846","PPN138292930"
"PPN736094989","PPN736093966"
"PPN715209523","PPN536537674"
"PPN1047294958","PPN323108288"
"PPN1664570675","PPN536607753"
"PPN1788322363","PPN38949061X"
"PPN849028000","PPN535507879"
"PPN182688033X","PPN1809455529"
"PPN635376695","PPN53686909X"
"PPN1802165649","PPN535774109"
"PPN620945346","PPN221301100"
"PPN770206972","PPN769899781"
"PPN734406150","PPN722260547"
"PPN622663437","PPN622661795"
"PPN677775245","PPN53655868X"
"PPN773446559","PPN364185015"
"PPN736384480","PPN198092520"
"PPN768622972","PPN154258318"
"PPN728509776","PPN537019146"
"PPN61063819X","PPN436856484"
"PPN729085031","PPN141409428"
"PPN1019334622","PPN667346996"
"PPN181466579X","PPN389770612"
"PPN647392658","PPN211410071"
"PPN868323098","PPN747623481"
"PPN1758644974","PPN406994072"
"PPN716425319","PPN372531245"
"PPN87048446X","PPN536568596"
"PPN801015421","PPN473461080"
"PPN719036224","PPN578804654"
"PPN1784853216","PPN178483632X"
"PPN817139079","PPN42323465X"
"PPN687971535","PPN536575711"
"PPN788906526","PPN419850783"
"PPN721956998","PPN058433120"
"PPN659499363","PPN147740983"
"PPN180945204X","PPN1809315395"
"PPN1778320961","PPN177831516X"
"PPN76863735X","PPN752305808"
"PPN856486906","PPN53583456X"
"PPN813069629","PPN567679330"
"PPN798011912","PPN567560163"
"PPN800138554","PPN356913732"
"PPN1769981691","PPN1769673229"
"PPN894227033","PPN536642389"
"PPN838178146","PPN567705064"
"PPN721954901","PPN721951988"
"PPN79432892X","PPN455294089"
"PPN688060129","PPN389760013"
"PPN1778266185","PPN177826137X"
"PPN1755464339","PPN747673780"
"PPN819424153","PPN77704675X"
"PPN78807749X","PPN510328113"
"PPN767471350","PPN666563462"
"PPN647134047","PPN379822113"
"PPN1817790684","PPN419968180"
"PPN644084383","PPN412932075"
"PPN727497197","PPN40425764X"
"PPN755310772","PPN45013492X"
"PPN1823581072","PPN572184484"
"PPN748732381","PPN412017709"
"PPN1677873116","PPN893974226"
"PPN659533472","PPN536581614"
"PPN1778320198","PPN1778314422"
"PPN683186469","PPN456675175"
"PPN730682137","PPN470878649"
"PPN646124765","PPN434572136"
"PPN1026882443","PPN1026882443"
"PPN1778265758","PPN177826087X"
"PPN624057569","PPN092053858"
"PPN820139742","PPN728619970"
"PPN797830553","PPN403388325"
"PPN1669308383","PPN49666655X"
"PPN1779115768","PPN536537542"
"PPN655759557","PPN535716184"
"PPN750470828","PPN56750350X"
"PPN633763446","PPN413082512"
"PPN1031025677","PPN536593329"
"PPN607444592","PPN535857071"
"PPN832284335","PPN371167981"
"PPN1006325042","PPN180652060"
"PPN859341240","PPN859341240"
"PPN717767116","PPN535902891"
"PPN784798095","PPN387990143"
"PPN612862003","PPN427790921"
"PPN840586264","PPN568127803"
"PPN1838766146","PPN173614006X"
"PPN746436270","PPN744905478"
"PPN68915710X","PPN685379922"
"PPN768686261","PPN752203460"
"PPN647174707","PPN445310588"
"PPN718683722","PPN168563533"
"PPN655981454","PPN36757831X"
"PPN628488092","PPN434366714"
"PPN1015325009","PPN092051235"
"PPN859507033","PPN326560890"
"PPN1666406651","PPN21894523X"
"PPN749583665","PPN470663111"
"PPN837762146","PPN535389035"
"PPN859861171","PPN454891970"
"PPN842236481","PPN355729555"
"PPN62365296X","PPN536538778"
"PPN621248983","PPN134981596"
"PPN630193207","PPN411680358"
"PPN731808282","PPN42846582X"
"PPN788846396","PPN567541843"
"PPN729547590","PPN444275320"
"PPN75044102X","PPN53691933X"
"PPN738041289","PPN567758176"
"PPN630059179","PPN358426472"
"PPN1004730942","PPN536531153"
"PPN856600830","PPN747653704"
"PPN718165241","PPN450230899"
"PPN812611004","PPN314942483"
"PPN727643126","PPN477738729"
"PPN730357368","PPN436921227"
"PPN640694128","PPN231048734"
"PPN1671099079","PPN536085862"
"PPN773966994","PPN453058310"
"PPN590262661","PPN536516375"
"PPN815872461","PPN815714726"
"PPN898851386","PPN524550743"
"PPN1815778016","PPN1771931140"
"PPN898740819","PPN898605083"
"PPN682394939","PPN323266940"
"PPN637201566","PPN636894282"
"PPN847830357","PPN536749485"
"PPN872784584","PPN384648207"
"PPN767848705","PPN767839579"
"PPN812965841","PPN483199699"
"PPN798483776","PPN568065905"
"PPN1024850080","PPN1024665798"
"PPN175012808X","PPN1750039303"
"PPN1778321607","PPN1778315747"
"PPN798980362","PPN567393968"
"PPN1801698155","PPN537200932"
"PPN890192197","PPN385370334"
"PPN769129307","PPN768650224"
"PPN719290279","PPN449490394"
"PPN894422839","PPN894274880"
"PPN719800803","PPN138511063"
"PPN881952575","PPN415623995"
"PPN67958370X","PPN536595127"
"PPN726102008","PPN445451157"
"PPN685610330","PPN226076776"
"PPN647191598","PPN141534095"
"PPN747080151","PPN567358895"
"PPN732410983","PPN138222347"
"PPN815247346","PPN536364516"
"PPN785831398","PPN477465765"
"PPN603366619","PPN09195827X"
"PPN868007676","PPN747624798"
"PPN766229041","PPN567359859"
"PPN887666469","PPN51249942X"
"PPN685385981","PPN427366453"
"PPN820447609","PPN784844410"
"PPN1793829713","PPN245224025"
"PPN635397374","PPN092133908"
"PPN667085084","PPN143984624"
"PPN1778319637","PPN1778313906"
"PPN1015680119","PPN567379620"
"PPN1778319572","PPN1778313841"
"PPN1675875626","PPN31332400X"
"PPN180755645X","PPN305284851"
"PPN847498417","PPN091862744"
"PPN824090187","PPN331866242"
"PPN626204321","PPN568240472"
"PPN1762717409","PPN577755161"
"PPN835030679","PPN412732068"
"PPN834706652","PPN536752818"
"PPN749516313","PPN238190471"
"PPN610462172","PPN536648808"
"PPN716104202","PPN145497550"
"PPN646027913","PPN233542426"
"PPN685180514","PPN536547262"
"PPN641717628","PPN434562173"
"PPN717885003","PPN269137637"
"PPN766175227","PPN56764698X"
"PPN665458924","PPN355608537"
"PPN715933094","PPN565162357"
"PPN880312890","PPN322026822"
"PPN717311678","PPN420301429"
"PPN1681977982","PPN454588402"
"PPN721348424","PPN366102877"
"PPN1758447281","PPN1758440724"
"PPN67298749X","PPN359864228"
"PPN668831677","PPN567992225"
"PPN64238195X","PPN536389756"
"PPN77091117X","PPN35920483X"
"PPN1025534298","PPN536612145"
"PPN68320842X","PPN536545456"
"PPN1028076274","PPN536634971"
"PPN1762843927","PPN548004706"
"PPN633570885","PPN091805139"
"PPN719326346","PPN375403914"
"PPN773814205","PPN773549374"
"PPN858995719","PPN858995719"
"PPN669225843","PPN318350432"
"PPN688960472","PPN066460379"
"PPN1047145553","PPN535865007"
"PPN834291045","PPN567790622"
"PPN857431811","PPN536670870"
"PPN846740575","PPN53679541X"
"PPN746444826","PPN744907616"
"PPN850971284","PPN342751026"
"PPN657509760","PPN356092925"
"PPN633154911","PPN445043652"
"PPN880576146","PPN88057609X"
"PPN88230741X","PPN455590184"
"PPN768454271","PPN74843576X"
"PPN722365586","PPN092246818"
"PPN630915067","PPN280010230"
"PPN729039048","PPN423220284"
"PPN749913134","PPN361807546"
"PPN68857355X","PPN437574733"
"PPN723883513","PPN409696854"
"PPN1009895761","PPN40466492X"
"PPN1801323801","PPN536552193"
"PPN1782036598","PPN1782034676"
"PPN729857948","PPN429271263"
"PPN833623087","PPN535821875"
"PPN803826745","PPN567702529"
"PPN848333780","PPN535703139"
"PPN626804655","PPN454583141"
"PPN635677571","PPN536673284"
"PPN846912880","PPN846813084"
"PPN85945925X","PPN567963055"
"PPN669046922","PPN091790271"
"PPN683210025","PPN452315867"
"PPN83914072X","PPN56761557X"
"PPN715350323","PPN367055694"
"PPN679698019","PPN567518205"
"PPN689066805","PPN250616831"
"PPN750194685","PPN402355180"
"PPN663891558","PPN412446510"
"PPN642354278","PPN427801052"
"PPN659534266","PPN536580448"
"PPN820594512","PPN568023234"
"PPN823209180","PPN187620520"
"PPN684376512","PPN042197929"
"PPN800145720","PPN535393121"
"PPN738513741","PPN129393215"
"PPN839144326","PPN838330339"
"PPN744074843","PPN342327674"
"PPN722942125","PPN536070385"
"PPN751126411","PPN379196794"
"PPN757242235","PPN75541537X"
"PPN631287531","PPN453955681"
"PPN835060403","PPN748623361"
"PPN832950963","PPN832950963"
"PPN893988979","PPN71980924X"
"PPN675933412","PPN372040977"
"PPN766741575","PPN353957054"
"PPN611469642","PPN536642672"
"PPN1677265248","PPN265446511"
"PPN646142011","PPN567323161"
"PPN844111333","PPN567515176"
"PPN668369469","PPN141479655"
"PPN3371388921","PPN3371343782"
"PPN1741588529","PPN1741588359"
"PPN643788581","PPN366802542"
"PPN1048288986","PPN307059847"
"PPN746987803","PPN627127797"
"PPN1014915902","PPN416786863"
"PPN867658592","PPN195223454"
"PPN850640040","PPN84864879X"
"PPN74729643X","PPN746880774"
"PPN734605935","PPN568186907"
"PPN680183639","PPN567556395"
"PPN766694259","PPN279423942"
"PPN767885341","PPN567976068"
"PPN788977253","PPN567455483"
"PPN797909265","PPN568157737"
"PPN636860655","PPN444396691"
"PPN66576331X","PPN141403071"
"PPN756781108","PPN567465667"
"PPN674659325","PPN313615179"
"PPN166611362X","PPN349860483"
"PPN869928287","PPN864195052"
"PPN167193136X","PPN388771909"
"PPN838562809","PPN350854459"
"PPN833541536","PPN537336362"
"PPN848084012","PPN375969349"
"PPN1796128953","PPN581791754"
"PPN1819830543","PPN245253165"
"PPN739268767","PPN567216314"
"PPN1833112695","PPN445570504"
"PPN880483946","PPN880368055"
"PPN1010309390","PPN317845969"
"PPN679400923","PPN536596700"
"PPN745169961","PPN481626441"
"PPN617403430","PPN384788866"
"PPN876559887","PPN506502430"
"PPN771776977","PPN567659674"
"PPN337139011X","PPN3371344355"
"PPN638257670","PPN09181054X"
"PPN839467222","PPN747837104"
"PPN1769375945","PPN1769372741"
"PPN1041424698","PPN18150233X"
"PPN885211006","PPN512492964"
"PPN612157679","PPN53662853X"
"PPN850614694","PPN536759898"
"PPN68582019X","PPN53654980X"
"PPN747425876","PPN134319648"
"PPN771011601","PPN477279112"
"PPN797717609","PPN568121325"
"PPN1042483523","PPN535654979"
"PPN1750822148","PPN747678421"
"PPN799386669","PPN450186008"
"PPN715705253","PPN535702507"
"PPN1671021932","PPN1669520110"
"PPN777864150","PPN777863057"
"PPN830326685","PPN397680910"
"PPN866815988","PPN866889620"
"PPN640639755","PPN413082776"
"PPN1007181923","PPN53729029X"
"PPN654467862","PPN364265809"
"PPN719975409","PPN231448708"
"PPN780002644","PPN780002318"
"PPN790460742","PPN568144759"
"PPN68252266X","PPN456673121"
"PPN788602837","PPN26516883X"
"PPN767481011","PPN748570799"
"PPN857512188","PPN423194771"
"PPN840899661","PPN567365816"
"PPN858802686","PPN645177245"
"PPN743982061","PPN16668127X"
"PPN623494841","PPN436987538"
"PPN647876248","PPN456458743"
"PPN657441856","PPN657103993"
"PPN758284969","PPN537294503"
"PPN76816656X","PPN45677971X"
"PPN1785244116","PPN312155689"
"PPN747236305","PPN238411826"
"PPN1759794538","PPN1690376996"
"PPN749506156","PPN448178850"
"PPN874956668","PPN369519965"
"PPN1672181690","PPN789311607"
"PPN670289744","PPN567525155"
"PPN790039451","PPN747832994"
"PPN877711933","PPN567739902"
"PPN1770455949","PPN565079840"
"PPN882527584","PPN536501114"
"PPN661070654","PPN535596197"
"PPN1778265065","PPN1778260187"
"PPN869503073","PPN84838220X"
"PPN81955037X","PPN567550923"
"PPN1773622013","PPN487673441"
"PPN717741303","PPN717449033"
"PPN87788756X","PPN567984532"
"PPN749714859","PPN402863100"
"PPN851726720","PPN45518805X"
"PPN737600217","PPN536806144"
"PPN66862972X","PPN484860003"
"PPN896165884","PPN471777323"
"PPN812772253","PPN448919435"
"PPN833188321","PPN536510385"
"PPN662354931","PPN147450233"
"PPN651715393","PPN536559260"
"PPN834924900","PPN568099281"
"PPN747328919","PPN388779373"
"PPN1030583048","PPN536593515"
"PPN730231348","PPN266598102"
"PPN653581181","PPN57352064X"
"PPN1763774759","PPN1745709711"
"PPN1002879760","PPN627138179"
"PPN1770696164","PPN1046218379"
"PPN662038924","PPN66192677X"
"PPN737335939","PPN279077629"
"PPN595453171","PPN536531323"
"PPN63854582X","PPN537103961"
"PPN1667529064","PPN536515514"
"PPN737133600","PPN38004627X"
"PPN862836832","PPN454058373"
"PPN730156702","PPN147232791"
"PPN755472772","PPN751876291"
"PPN779977084","PPN407443762"
"PPN742256553","PPN136646336"
"PPN685574326","PPN685570355"
"PPN894851209","PPN894414550"
"PPN596022913","PPN535973780"
"PPN607450460","PPN092207561"
"PPN876711352","PPN092131379"
"PPN784006741","PPN640305822"
"PPN664020437","PPN500223610"
"PPN86922087X","PPN536671001"
"PPN1782575251","PPN558098460"
"PPN778552357","PPN182264483"
"PPN838746721","PPN536828725"
"PPN780863828","PPN405469977"
"PPN718684435","PPN168530988"
"PPN623506173","PPN434648841"
"PPN1045872571","PPN429217803"
"PPN860772306","PPN559667035"
"PPN774081333","PPN567709604"
"PPN76822585X","PPN53621235X"
"PPN770195318","PPN364964677"
"PPN1777652014","PPN55034456X"
"PPN875158498","PPN535852800"
"PPN795349505","PPN314182330"
"PPN644072032","PPN644061626"
"PPN664549519","PPN319298426"
"PPN726207144","PPN537096558"
"PPN840898304","PPN567663558"
"PPN791302903","PPN747835705"
"PPN871959712","PPN53584512X"
"PPN644969814","PPN644969555"
"PPN815333455","PPN567498247"
"PPN873659112","PPN592528146"
"PPN670618608","PPN663626080"
"PPN833989243","PPN478332831"
"PPN781342198","PPN236272772"
"PPN768527821","PPN405738595"
"PPN894649434","PPN89464940X"
"PPN1671515218","PPN242704662"
"PPN726677817","PPN412207761"
"PPN814445721","PPN091976812"
"PPN79895230X","PPN484692534"
"PPN64080439X","PPN250375559"
"PPN72223189X","PPN536045712"
"PPN718464443","PPN567359751"
"PPN684010798","PPN407598766"
"PPN769128440","PPN76864996X"
"PPN687567742","PPN436841371"
"PPN1796057851","PPN235001333"
"PPN780532678","PPN150473060"
"PPN815370733","PPN567659895"
"PPN667861319","PPN145041743"
"PPN730916766","PPN192179357"
"PPN680542612","PPN536587523"
"PPN1759871060","PPN175987101X"
"PPN776702076","PPN567948811"
"PPN176280381X","PPN1762749246"
"PPN791645622","PPN567679713"
"PPN638111773","PPN494318724"
"PPN862993342","PPN862986818"
"PPN670724580","PPN45025965X"
"PPN633577383","PPN535704372"
"PPN868302279","PPN19092831X"
"PPN1031026908","PPN141792116"
"PPN1784493872","PPN557192218"
"PPN690194935","PPN536577358"
"PPN668829702","PPN485351927"
"PPN679434992","PPN536586705"
"PPN1782369201","PPN530046458"
"PPN820203319","PPN730148602"
"PPN830210059","PPN536659451"
"PPN1762638053","PPN550835555"
"PPN1005289328","PPN1000086992"
"PPN658129929","PPN474576930"
"PPN1695556674","PPN412261421"
"PPN1045901016","PPN1043721118"
"PPN600435466","PPN092297137"
"PPN1047609142","PPN1047608391"
"PPN730934268","PPN567607402"
"PPN817943587","PPN567585239"
"PPN898166756","PPN898166551"
"PPN773797114","PPN561429316"
"PPN1066890102","PPN226035816"
"PPN646015257","PPN646014900"
"PPN654201617","PPN141409983"
"PPN699902479","PPN536553009"
"PPN847087093","PPN568019342"
"PPN1680075802","PPN1680073117"
"PPN821989367","PPN016013530"
"PPN736220461","PPN14142334X"
"PPN669470503","PPN669470198"
"PPN79526383X","PPN486929833"
"PPN731326733","PPN568098110"
"PPN746604998","PPN23770658X"
"PPN894852361","PPN890991758"
"PPN1753033543","PPN1753033470"
"PPN845635530","PPN536828237"
"PPN811789675","PPN536873151"
"PPN726548014","PPN142330329"
"PPN644068744","PPN374569460"
"PPN631033211","PPN53538470X"
"PPN67879507X","PPN367937719"
"PPN1027895158","PPN1027895158"
"PPN832276448","PPN47417042X"
"PPN1018857346","PPN748430067"
"PPN688188125","PPN455626588"
"PPN770574807","PPN444712518"
"PPN77647880X","PPN454604165"
"PPN1681200767","PPN446143340"
"PPN720192579","PPN323168930"
"PPN1677731672","PPN314853898"
"PPN86867026X","PPN456305491"
"PPN870041711","PPN870041711"
"PPN1749476355","PPN1749197340"
"PPN799336270","PPN799335398"
"PPN102750163X","PPN1027440274"
"PPN1820727157","PPN557357594"
"PPN723759561","PPN408443073"
"PPN724126856","PPN448778580"
"PPN833367714","PPN151672180"
"PPN1685377653","PPN519671740"
"PPN805310940","PPN567710688"
"PPN872009106","PPN415608015"
"PPN892791888","PPN574623256"
"PPN870136291","PPN536606595"
"PPN78480804X","PPN408918055"
"PPN890693404","PPN747927715"
"PPN881141631","PPN456280391"
"PPN1670687287","PPN1669521184"
"PPN862707056","PPN455876983"
"PPN667710019","PPN212937448"
"PPN644463945","PPN536564736"
"PPN1027456537","PPN1027456537"
"PPN72950543X","PPN625858247"
"PPN662625439","PPN144582082"
"PPN1796137367","PPN577540572"
"PPN840973888","PPN211845248"
"PPN83259380X","PPN536771421"
"PPN871280795","PPN454472099"
"PPN1686422075","PPN535502249"
"PPN79123990X","PPN567917053"
"PPN687930065","PPN536665265"
"PPN689698941","PPN536576947"
"PPN646442740","PPN37165730X"
"PPN63188131X","PPN437714462"
"PPN816881995","PPN81667633X"
"PPN656440295","PPN091892309"
"PPN718042476","PPN390255971"
"PPN805590390","PPN279311354"
"PPN1032331607","PPN449861821"
"PPN728672235","PPN066915872"
"PPN176025892X","PPN560238665"
"PPN668030593","PPN518513327"
"PPN797427422","PPN420737634"
"PPN721901689","PPN412932857"
"PPN635950154","PPN536857245"
"PPN630150842","PPN361161514"
"PPN867868201","PPN135041287"
"PPN84757136X","PPN568036727"
"PPN733734022","PPN137132875"
"PPN728905272","PPN242869246"
"PPN788450131","PPN640725600"
"PPN1837494983","PPN1700686720"
"PPN80502414X","PPN536612870"
"PPN1837934894","PPN422119644"
"PPN786805447","PPN567960153"
"PPN1672832659","PPN868899569"
"PPN1807283151","PPN180728235X"
"PPN72705225X","PPN567588114"
"PPN727545248","PPN421586133"
"PPN824005031","PPN449583783"
"PPN756283302","PPN755754735"
"PPN860470911","PPN56818372X"
"PPN727146424","PPN402987780"
"PPN101949414X","PPN536589712"
"PPN102752057X","PPN536630623"
"PPN840077408","PPN784846081"
"PPN66865967X","PPN092133401"
"PPN820552011","PPN536038228"
"PPN796245835","PPN568158938"
"PPN781934974","PPN388351543"
"PPN720126061","PPN407208151"
"PPN632793570","PPN456432043"
"PPN1760704989","PPN282121617"
"PPN640611133","PPN455259585"
"PPN719265320","PPN181385481"
"PPN751557609","PPN567617912"
"PPN734967888","PPN536761922"
"PPN670608327","PPN388409711"
"PPN871438666","PPN535728476"
"PPN889537682","PPN140802851"
"PPN737146737","PPN536824673"
"PPN669210404","PPN536667233"
"PPN735587078","PPN431958068"
"PPN731836510","PPN447055461"
"PPN841236992","PPN567664384"
"PPN745218547","PPN568035232"
"PPN619920459","PPN536638098"
"PPN729733661","PPN451212517"
"PPN778737020","PPN423192604"
"PPN1816722847","PPN484519107"
"PPN881387746","PPN881387746"
"PPN871505045","PPN871502089"
"PPN631396861","PPN324584423"
"PPN757115802","PPN53729662X"
"PPN629632863","PPN472845233"
"PPN638365554","PPN436913593"
"PPN799022306","PPN456325670"
"PPN665965427","PPN520233964"
"PPN1683699130","PPN748474730"
"PPN631275452","PPN536666512"
"PPN654939977","PPN536538980"
"PPN1028136064","PPN537043144"
"PPN683194313","PPN581122240"
"PPN1822148006","PPN182213255X"
"PPN840972598","PPN840803044"
"PPN799502944","PPN09213288X"
"PPN862730597","PPN862700396"
"PPN614929180","PPN536647488"
"PPN1779373236","PPN1779372205"
"PPN640949487","PPN409753246"
"PPN755698843","PPN567627551"
"PPN657578479","PPN454005571"
"PPN614077273","PPN536647399"
"PPN774257520","PPN775041882"
"PPN747236895","PPN369963725"
"PPN836703006","PPN836702824"
"PPN771235747","PPN771234961"
"PPN721970354","PPN367467364"
"PPN623519569","PPN436927608"
"PPN745201954","PPN324479743"
"PPN734377177","PPN567510654"
"PPN777217503","PPN319217795"
"PPN1031609946","PPN1031197761"
"PPN728494442","PPN141675365"
"PPN79534967X","PPN216997453"
"PPN647529858","PPN433962658"
"PPN771649339","PPN771230222"
"PPN769328431","PPN768449146"
"PPN834517205","PPN47740538X"
"PPN835350398","PPN536598363"
"PPN717907813","PPN378251295"
"PPN788868551","PPN146807553"
"PPN635377837","PPN536869855"
"PPN860139697","PPN665216564"
"PPN680296867","PPN141360674"
"PPN1775554341","PPN778142167"
"PPN862895146","PPN862894891"
"PPN1005061416","PPN536534594"
"PPN87502341X","PPN87490823X"
"PPN168989718X","PPN1689894016"
"PPN729706508","PPN44470213X"
"PPN1778266657","PPN1778261930"
"PPN715793594","PPN067206379"
"PPN747569460","PPN429254016"
"PPN73482176X","PPN56803712X"
"PPN738507415","PPN567567974"
"PPN718220889","PPN447030213"
"PPN667637737","PPN45064572X"
"PPN1046544152","PPN536595577"
"PPN896392341","PPN536540586"
"PPN798948175","PPN56801300X"
"PPN632042001","PPN336063032"
"PPN640492207","PPN585920389"
"PPN717279618","PPN409372706"
"PPN835329321","PPN253496942"
"PPN3376910995","PPN3371345149"
"PPN778732878","PPN567283801"
"PPN1671628098","PPN411011928"
"PPN81769191X","PPN535930062"
"PPN647740826","PPN09222508X"
"PPN826337244","PPN567738965"
"PPN1023126575","PPN536992207"
"PPN791794091","PPN610595288"
"PPN656851988","PPN091891221"
"PPN1009165771","PPN56734259X"
"PPN755682904","PPN567594947"
"PPN592837467","PPN535911769"
"PPN609894420","PPN535890818"
"PPN766440923","PPN756908108"
"PPN679691901","PPN567547426"
"PPN829780599","PPN092191177"
"PPN718131126","PPN718130987"
"PPN770749240","PPN53709265X"
"PPN729170594","PPN14140938X"
"PPN833117505","PPN353868000"
"PPN58524801X","PPN536130558"
"PPN834562677","PPN567637468"
"PPN796416648","PPN567361152"
"PPN75046268X","PPN536921687"
"PPN837452872","PPN536969221"
"PPN68954233X","PPN408085118"
"PPN1029228469","PPN53659208X"
"PPN690232373","PPN279837933"
"PPN878981489","PPN362406979"
"PPN848737334","PPN536888493"
"PPN618033394","PPN248850210"
"PPN866883770","PPN536565120"
"PPN767829697","PPN748615423"
"PPN81799775X","PPN558408117"
"PPN717304612","PPN717303683"
"PPN1014485428","PPN456596801"
"PPN683175505","PPN536582696"
"PPN1700524836","PPN1700516183"
"PPN768238463","PPN409051810"
"PPN690059868","PPN376991399"
"PPN893980919","PPN89021901X"
"PPN630015740","PPN536663661"
"PPN1678880957","PPN280000200"
"PPN732414563","PPN732061210"
"PPN892492902","PPN40512614X"
"PPN776963074","PPN567875288"
"PPN674659139","PPN313613311"
"PPN168906952X","PPN13690663X"
"PPN1787385000","PPN1786591863"
"PPN175332727X","PPN747693811"
"PPN1823702147","PPN1806094886"
"PPN1689077832","PPN418834075"
"PPN715953419","PPN403293049"
"PPN633773700","PPN454364512"
"PPN787776882","PPN421238224"
"PPN774604670","PPN40661394X"
"PPN815234376","PPN091844525"
"PPN817957596","PPN568018168"
"PPN729519422","PPN418188149"
"PPN690230974","PPN091865131"
"PPN1009245279","PPN091777844"
"PPN1801808317","PPN1799716627"
"PPN73575277X","PPN734659571"
"PPN1831335972","PPN314288791"
