"PPN","physischePPN"
"PPN1734007524","PPN1130644375"
"PPN768253020","PPN18701051X"
"PPN3346231526","PPN3343790192"
"PPN3303601100","PPN3303504717"
"PPN642636273","PPN503695629"
"PPN813656370","PPN813655684"
"PPN3343671797","PPN3343671789"
"PPN721444385","PPN721147771"
"PPN1742212476","PPN531272273"
"PPN3308100673","PPN330809942X"
"PPN3308098059","PPN3308094835"
"PPN778504352","PPN778481638"
"PPN632377224","PPNx"
"PPN3306132543","PPN3306129860"
"PPN833622315","PPN748059954"
"PPN820526193","PPN134809106"
"PPN848647041","PPN719011051"
"PPN334366930X","PPN3315535124"
"PPN1027943039","PPN1027821480"
"PPN803541740","PPN803488173"
"PPN632962526","PPN632962526a"
"PPN3346230171","PPN3343787205"
"PPN3343673390","PPN3343673382"
"PPN623312239","PPN623312239a"
"PPN1736139150","PPN090732022"
"PPN881861863","PPN881859524"
"PPN834842793","PPN216559340"
"PPN834213125","PPN607157224"
"PPN1726064484","PPN1726064018"
"PPN76712538X","PPN767115309"
"PPN1067568646","PPN1067567364"
"PPN817661166","PPN643938850"
"PPN859776956","PPN859776158"
"PPN859859835","PPN859807436"
"PPN820815284","PPN245770720"
"PPN3371340856","PPN3371334287"
"PPN3371341178","PPN3371334600"
"PPN1736154893","PPN173613938X"
"PPN797728295","PPN232317216"
"PPN728663473","PPN728608766"
"PPN829178945","PPN24082976X"
"PPN879267070","PPN878988394"
"PPN1025465261","PPN1025465199"
"PPN1725491478","PPN1725489872"
"PPN3371391450","PPN3371391361"
"PPN334367060X","PPN3343670561"
"PPN680588310","PPN333456599"
"PPN819318817","PPN52133246X"
"PPN721451306","PPN721237851"
"PPN756259525","PPN756003512"
"PPN768649447","PPN768630908"
"PPN817493905","PPN643820221"
"PPN728664712","PPN728649160"
"PPN1726994392","PPN1726935175"
"PPN828847398","PPN828847347"
"PPN880498765","PPN14091255X"
"PPN834019183","PPN833971344"
"PPN817355928","PPN133900789"
"PPN839009313","PPN838988679"
"PPN828354081","PPN591327023"
"PPN330360097X","PPN3303504865"
"PPN653888201","PPN653888201a"
"PPN3306131296","PPN3305369949"
"PPN745606369","PPN555998126"
"PPN635915502","PPN572585330"
"PPN3343668583","PPN3341286969"
"PPN882670905","PPN882216805"
"PPN1728516129","PPN1728092930"
"PPN173392986X","PPN1733929630"
"PPN3303598495","PPN3303383553"
"PPN786504811","PPN786431423"
"PPN837845017","PPN140685405"
"PPN3308102692","PPN3308101769"
"PPN892979925","PPN533630134"
"PPN770294367","PPN473415186"
"PPN781362857","PPN566815737"
"PPN655727280","PPN655024840"
"PPN166642479X","PPN1666410020"
"PPN623236117","PPN623236117a"
"PPN1728894107","PPN1728817307"
"PPN3306131253","PPN3305369663"
"PPN732390222","PPN730539407"
"PPN3346230406","PPN3343787612"
"PPN617951160","PPN617951160"
"PPN3343668680","PPN3341286039"
"PPN770871283","PPN639528961"
"PPN104113133X","PPN1041108931"
"PPN1018583173","PPN443147450"
"PPN794189288","PPN793020581"
"PPN844999822","PPN812683587"
"PPN745601928","PPN572610564"
"PPN1013756266","PPN1013754972"
"PPN1001057678","PPN582138272"
"PPN680206418","PPN680066217"
"PPN803542054","PPN80348836X"
"PPN3303600376","PPN3303505470"
"PPN635426498","PPN278666493"
"PPN819623873","PPN819623741"
"PPN1724940341","PPN1724937715"
"PPN726261424","PPN565507354"
"PPN645230111","PPN645230111a"
"PPN3308096692","PPN3308093472"
"PPN3306130494","PPN3304244425"
"PPN742710181","PPN578812975"
"PPN743776879","PPN726472735"
"PPN1737547813","PPN173754766X"
"PPN644463252","PPNx"
"PPN838423051","PPN838327117"
"PPN81719097X","PPN32328096X"
"PPN1018708308","PPN403130670"
"PPN1668624958","PPN1668623579"
"PPN1738081184","PPN126279659"
"PPN1729179274","PPN1155299566"
"PPN623905507","PPNx"
"PPN817984062","PPN817984062a"
"PPN3303600872","PPN3303504946"
"PPN3308095629","PPN3308092409"
"PPN1737516497","PPN1737515474"
"PPN75020169X","PPN750049898"
"PPN668065133","PPNx"
"PPN3346157733","PPN3304247319"
"PPN635916576","PPN570226244"
"PPN848749413","PPN848535898"
"PPN875968864","PPN875866719"
"PPN83381866X","PPN833503448"
"PPN3355339180","PPN335533913X"
"PPN817469761","PPN359219586"
"PPN1740429451","PPN635642557"
"PPN1015068987","PPN1015067425"
"PPN733239587","PPN733231330"
"PPN870323008","PPN141758112"
"PPN1742827292","PPN1742825494"
"PPN1677365099","PPN1358283141"
"PPN637985885","PPN637985885a"
"PPN820309494","PPN184842123"
"PPN1750129604","PPN1750021366"
"PPN3306131342","PPN330504425X"
"PPN3343669865","PPN3342683309"
"PPN769907067","PPN550804897"
"PPN781283116","PPN541529498"
"PPN635427494","PPNX"
"PPN3371389448","PPN3371345734"
"PPN74013115X","PPN735728054"
"PPN3346231054","PPN3343790923"
"PPN75130087X","PPN571683487"
"PPN744748682","PPN576742953"
"PPN3308100762","PPN3308099489"
"PPN770503683","PPN446292427"
"PPN1737989859","PPN1737985632"
"PPN3308095718","PPN3308092492"
"PPN881244333","PPN881198188"
"PPN627595324","PPNx"
"PPN3308102501","PPN3308101351"
"PPN1066683832","PPN1049506928"
"PPN644633727","PPN644633727a"
"PPN334367124X","PPN3341287310"
"PPN716187841","PPN135224578"
"PPN3343671738","PPN334367172X"
"PPN834475901","PPN784929939"
"PPN844103381","PPN843989181"
"PPN3346232115","PPN3343792322"
"PPN661070271","PPN661064611"
"PPN3343671460","PPN3341287361"
"PPN1018583564","PPN404583156"
"PPN770192904","PPN348919875"
"PPN1029373078","PPN1029290091"
"PPN3343669482","PPN3343669512"
"PPN3303598606","PPN3302887450"
"PPN3306132306","PPN3306129623"
"PPN745184790","PPN409512958"
"PPN746058071","PPN581956265"
"PPN742265854","PPN075438097"
"PPN1733704825","PPN1732480281"
"PPN826264271","PPN358248604"
"PPN720805252","PPN720741610"
"PPN839447817","PPN839331517"
"PPN3367522023","PPN336239695X"
"PPN3346228657","PPN3346228649"
"PPN3343672467","PPN3341286853"
"PPN863474055","PPN863472931"
"PPN840602596","PPN521342279"
"PPN890218455","PPN360610277"
"PPN654673276","PPN654669449"
"PPN3303601305","PPN3303504512"
"PPN798198834","PPN798198362"
"PPN1737403137","PPN1737402068"
"PPN74253507X","PPN455078025"
"PPN3343671401","PPN3343671398"
"PPN3306130648","PPN3304246657"
"PPN1677256850","PPN1677255625"
"PPN66808586X","PPN668085681"
"PPN769886752","PPN431985545"
"PPN817047123","PPN57130379X"
"PPN829335986","PPN82933419X"
"PPN1681948575","PPN1676005501"
"PPN1734844027","PPN543858685"
"PPN633700703","PPNX"
"PPN3308099330","PPN3304246290"
"PPN819249920","PPN134125584"
"PPN772987947","PPN476289602"
"PPN3346232638","PPN3343793779"
"PPN646289020","PPN646254871"
"PPN629820848","PPN362669244"
"PPN756393086","PPN756392837"
"PPN897685938","PPN416466745"
"PPN80012314X","PPN799390526"
"PPN856331007","PPN856213934"
"PPN770157742","PPN366080202"
"PPN768465540","PPN768463947"
"PPN3346232735","PPN3343794147"
"PPN815806841","PPN019122160"
"PPN689929323","PPN689864523"
"PPN1740424778","PPN083049037"
"PPN3346229939","PPN3343786527"
"PPN624705447","PPN624302059"
"PPN1736458337","PPN1736453335"
"PPN3346230074","PPN3343786713"
"PPN751011193","PPN372190839"
"PPN842173668","PPN322477999"
"PPN635132087","PPN635132087a"
"PPN741671417","PPN408347201"
"PPN827699093","PPN827699042"
"PPN1001419324","PPN1001266358"
"PPN737117354","PPN373441231"
"PPN896020592","PPN895572117"
"PPN641980094","PPN641734824"
"PPN1740348974","PPN1740348931"
"PPN746286252","PPN574260765"
"PPN821772082","PPN557815371"
"PPN1030484368","PPN1030426430"
"PPN826378587","PPN135869544"
"PPN3346231976","PPN3343791784"
"PPN869256750","PPN236989081"
"PPN3346233162","PPN3346233154"
"PPN834742152","PPN834742047"
"PPN3308097915","PPN330809469X"
"PPN858906643","PPN680317929"
"PPN1751339890","PPN1751158217"
"PPN792121082","PPN376246979"
"PPN1017824053","PPN308972325"
"PPN1752442571","PPN1752440471"
"PPN3371386937","PPN3367523518"
"PPN635430207","PPNX"
"PPN719001129","PPN718949811"
"PPN1733238913","PPN1083747584"
"PPN635131706","PPN635131706a"
"PPN741360802","PPN572962495"
"PPN635640910","PPN369027086"
"PPN3367522155","PPN336239678X"
"PPN780453069","PPN279774990"
"PPN1666851973","PPN81963560X"
"PPN748769781","PPN748755586"
"PPN746287186","PPN236193015"
"PPN1012117782","PPN1011875373"
"PPN100553828X","PPN1005524483"
"PPN634200933","PPN634200933a"
"PPN772832773","PPN228066891"
"PPN834701456","PPN748223495"
"PPN745472516","PPN745466303"
"PPN644058722","PPN278386962"
"PPN630522413","PPN630522413a"
"PPN637324846","PPN637205235"
"PPN1031100423","PPN1031062548"
"PPN1012126005","PPN1011875764"
"PPN1012116824","PPN1011871335"
"PPN788772937","PPN788657771"
"PPN766164241","PPN766161447"
"PPN3306130567","PPN3304244611"
"PPN1736091239","PPN1735946680"
"PPN767208870","PPN767136306"
"PPN1041168853","PPN1041117663"
"PPN3343672394","PPN3343672386"
"PPN839448937","PPN839333730"
"PPN63418721X","PPN63418721Xa"
"PPN794194591","PPN793020905"
"PPN834524031","PPN617291772"
"PPN635131692","PPN635131692a"
"PPN1740234146","PPN1740234057"
"PPN3371391396","PPN3371391302"
"PPN104185904X","PPN1041856547"
"PPN1734904534","PPN61446479X"
"PPN3343672092","PPN3343671991"
"PPN741279150","PPN574709452"
"PPN744749980","PPN572556128"
"PPN841235376","PPN747889813"
"PPN746034628","PPN279781792"
"PPN1737478749","PPN349270740"
"PPN770493564","PPN27843424X"
"PPN1728959284","PPN1178638200"
"PPN3343671126","PPN3342064048"
"PPN887783651","PPN887782418"
"PPN839798296","PPN140685502"
"PPN888221479","PPN886404266"
"PPN3346157709","PPN3343670944"
"PPN1003439217","PPN1003437648"
"PPN3371338916","PPN3371332349"
"PPN779665988","PPN379977869"
"PPN1030654565","PPN1030620857"
"PPN3346230279","PPN3343787558"
"PPN83383875X","PPN833538055"
"PPN1008710636","PPN1008641405"
"PPN1728568277","PPN1727734386"
"PPN868323233","PPN868321214"
"PPN630141665","PPNx"
"PPN3346232603","PPN3343793728"
"PPN770851347","PPN581182618"
"PPN3308097249","PPN3308094029"
"PPN835986438","PPN835909263"
"PPN1736242105","PPN1736237551"
"PPN1738293637","PPN173829319X"
"PPN3358708594","PPN3358708489"
"PPN3346157261","PPN3346157253"
"PPN833820907","PPN833506617"
"PPN750737867","PPN553686518"
"PPN1677074116","PPN1671421604"
"PPN1007315911","PPN1006420894"
"PPN769510280","PPN230642853"
"PPN859285855","PPN859285332"
"PPN3308103109","PPN3304244867"
"PPN1049246144","PPN1049108639"
"PPN1022349783","PPN1022287656"
"PPN337138750X","PPN3371353087"
"PPN3308098210","PPN3308094991"
"PPN831752998","PPN831568690"
"PPN624289478","PPN623919397"
"PPN3367523097","PPN3367522899"
"PPN1041132689","PPN1041128622"
"PPN790164922","PPN602162645"
"PPN802927858","PPN411020129"
"PPN647453371","PPN647453371a"
"PPN1007286539","PPN451641248"
"PPN718449428","PPN718238745"
"PPN3308095483","PPN3308092263"
"PPN816103674","PPN142865559"
"PPN722391382","PPN722388586"
"PPN636137589","PPN585669775"
"PPN647150638","PPN64522085X"
"PPN737997893","PPN737978031"
"PPN732378419","PPN732077540"
"PPN865223521","PPN865157154"
"PPN3371340023","PPN3371333450"
"PPN632199814","PPNX"
"PPN635426765","PPN635426765a"
"PPN175366909X","PPN1753659647"
"PPN749923067","PPN574620397"
"PPN820473588","PPN47824231X"
"PPN1012491412","PPN237678195"
"PPN730259560","PPN730251985"
"PPN655639314","PPN654929904"
"PPN1734272570","PPN173427171X"
"PPN1728512522","PPN1728095883"
"PPN666352151","PPN66619114X"
"PPN3303599661","PPN3303506221"
"PPN77850803X","PPN778483665"
"PPN1014817927","PPN820649503"
"PPN88047260X","PPN877899886"
"PPN736531785","PPN671692593"
"PPN68453410X","PPN312225253"
"PPN641615817","PPN641615817a"
"PPN1725017830","PPN1724967991"
"PPN819806986","PPN819806331"
"PPN3343671711","PPN3343671703"
"PPN3348760488","PPN334876047X"
"PPN173801049X","PPN1738006204"
"PPN835157776","PPN835157415"
"PPN635318210","PPN635318210a"
"PPN860501000","PPN558663184"
"PPN635736322","PPN635735296"
"PPN756505925","PPN756501563"
"PPN667648607","PPNx"
"PPN741294397","PPN566740400"
"PPN3308097230","PPN3308094010"
"PPN638566274","PPN638566274a"
"PPN3306132063","PPN3306129348"
"PPN836119762","PPN836119630"
"PPN690103751","PPN508807255"
"PPN819772267","PPN180014714"
"PPN3371390926","PPN3371390810"
