PPN; SetSpecification; Title; Creator; Subject; Publisher; Date; Identifier
1111114021; kolonialismus; 2. Band; Stanley, Henry Morton; Kolonialismus; F.A. Brockhaus; 1890; https://www.digishelf.de/piresolver?id=1111114021
1111113459; kolonialismus; Im dunkelsten Afrika; Stanley, Henry Morton; Kolonialismus; F.A. Brockhaus; 1890; https://www.digishelf.de/piresolver?id=1111113459
1078214786; kolonialismus; Europa irredenta; Boehm; Kolonialismus; Hobbing; 1923; https://www.digishelf.de/piresolver?id=1078214786
1823554156; kolonialismus; Natal, Rhodesien, Britisch-Ostafrika; none; Kolonialismus; Duncker & Humblot; 1913; https://www.digishelf.de/piresolver?id=1823554156
1831152886; kolonialismus; (1879 - 1882); none; Kolonialismus; H\xef\xbf\xbdlzel; 1890; https://www.digishelf.de/piresolver?id=1831152886
1130452379; kolonialismus; Dr. Wilh. Junkers Reisen in Afrika, 1875 - 1886; none; Kolonialismus; H\xef\xbf\xbdlzel; 18XX; https://www.digishelf.de/piresolver?id=1130452379
1831168472; kolonialismus; 2. Band; Stanley, Henry Morton; Kolonialismus; F.A. Brockhaus; 1890; https://www.digishelf.de/piresolver?id=1831168472
1831155990; kolonialismus; Deutsch-Ostafrika als Siedelungsgebiet f\xef\xbf\xbdr Europ\xef\xbf\xbder; none; Kolonialismus; Duncker & Humblot; 1912; https://www.digishelf.de/piresolver?id=1831155990
1831341549; kolonialismus; Europa irredenta; Boehm; Kolonialismus; Hobbing; 1923; https://www.digishelf.de/piresolver?id=1831341549
1831338599; kolonialismus; Der Auslandsdienst bei den Verkehrs- und Grenzpostanstalten sowie in den Bahnposten und Grunds\xef\xbf\xbdtze f\xef\xbf\xbdr die Verwendung der Beamten in den deutschen Schutzgebieten, nebst d. dort gew\xef\xbf\xbdhrten Zusch\xef\xbf\xbdssen; none; Kolonialismus; Wolstein; 1908; https://www.digishelf.de/piresolver?id=1831338599
1843391260; kolonialismus; Allgemeine L\xef\xbf\xbdnderkunde; none; Kolonialismus; Bibliograph. Inst.; 18XX; https://www.digishelf.de/piresolver?id=1843391260
1159848416; kolonialismus; Afrika; Hahn, Friedrich Gustav; Kolonialismus; Bibliographisches Inst.; 1901; https://www.digishelf.de/piresolver?id=1159848416
1331094569; kolonialismus; Unter deutscher Flagge quer durch Afrika von West nach Ost; Wissmann, Hermann; Kolonialismus; Globus-Verl.; 1901; https://www.digishelf.de/piresolver?id=1331094569
1843393034; kolonialismus; Durchquerung Afrikas; Wissmann, Hermann; Kolonialismus; Globus-Verl.; 19XX; https://www.digishelf.de/piresolver?id=1843393034
1843393743; kolonialismus; Deutsch-Afrika und seine Nachbarn im schwarzen Erdteil; none; Kolonialismus; D\xef\xbf\xbdmmler; 1890; https://www.digishelf.de/piresolver?id=1843393743
1843393360; kolonialismus; Meine zweite Durchquerung \xef\xbf\xbdquatorial-Afrikas vom Kongo zum Zambesi w\xef\xbf\xbdhrend der Jahre 1886 und 1887; Wissmann, Hermann; Kolonialismus; Globus-Verl.; 1907; https://www.digishelf.de/piresolver?id=1843393360
1331231744; kolonialismus; Durchquerung Afrikas; Wissmann, Hermann; Kolonialismus; Globus-Verl.; 19XX; https://www.digishelf.de/piresolver?id=1331231744
1843394057; kolonialismus; (1875 - 1878); none; Kolonialismus; H\xef\xbf\xbdlzel; 1889; https://www.digishelf.de/piresolver?id=1843394057
1843394235; kolonialismus; Werden und Wirken eines Afrika-Missionars; none; Kolonialismus; Verl. d. Kongr. der Pallotiner; 1922; https://www.digishelf.de/piresolver?id=1843394235
1843394677; kolonialismus; Westafrika; Mansfeld, Alfred; Kolonialismus; Auriga-Verlag; 1924; https://www.digishelf.de/piresolver?id=1843394677
1843395223; kolonialismus; \xef\xbf\xbdber die Capverden nach dem Rio Grande und Futah-Djallon; Doelter y Cisterich, Cornelio August; Kolonialismus; Frohberg; 1884; https://www.digishelf.de/piresolver?id=1843395223
1133054935; kolonialismus; Die Tageb\xef\xbf\xbdcher von Dr. Emin Pascha; none; Kolonialismus; Westermann; 19XX; https://www.digishelf.de/piresolver?id=1133054935
1843396025; kolonialismus; Band 2; none; Kolonialismus; Westermann; 1919; https://www.digishelf.de/piresolver?id=1843396025
1843404834; kolonialismus; Erster Band; Casati, Gaetano; Kolonialismus; Buchner; 1891; https://www.digishelf.de/piresolver?id=1843404834
1073642593; kolonialismus; Zehn Jahre in \xef\xbf\xbdquatoria und die R\xef\xbf\xbdckkehr mit Emin Pascha; Casati, Gaetano; Kolonialismus; Buchner; 18XX; https://www.digishelf.de/piresolver?id=1073642593
1843405288; kolonialismus; Zweiter Band; Casati, Gaetano; Kolonialismus; Buchner; 1891; https://www.digishelf.de/piresolver?id=1843405288
1843413159; kolonialismus; Die Insel Sansibar. Reisen nach dem Niassasee und dem Schneeberge Kilimandscharo; Decken, Carl Claus; Kolonialismus; Winter; 1869; https://www.digishelf.de/piresolver?id=1843413159
1153086948; kolonialismus; b"Baron Carl Claus von der Deckens Reisen in Ost-Afrika"; Decken, Carl Claus; Kolonialismus; Winter; 18XX; https://www.digishelf.de/piresolver?id=1153086948
1843413655; kolonialismus; Volksbuch der Wadschagga; Gutmann, Bruno; Kolonialismus; Verl. d. Evang.-Luth. Mission; 1914; https://www.digishelf.de/piresolver?id=1843413655
1843414562; kolonialismus; Der j\xef\xbf\xbdngste Reiter; none; Kolonialismus; Ullstein; 1923; https://www.digishelf.de/piresolver?id=1843414562
1843414813; kolonialismus; Ostafrika; none; Kolonialismus; Fock; 1890; https://www.digishelf.de/piresolver?id=1843414813
1843407310; kolonialismus; Der Kagera-Nil; Fitzner, Rudolf; Kolonialismus; Schall; 1899; https://www.digishelf.de/piresolver?id=1843407310
184467651X; kolonialismus; The vegetation and soils of Africa; Marbut, Curtis Fletcher; Kolonialismus; American Geographical Society; 1923; https://www.digishelf.de/piresolver?id=184467651X
184479427X; kolonialismus; Forschungen und Erlebnisse im "dunkelsten Afrika"; Jameson, James Sligo; Kolonialismus; Verl.-Anst. und Dr.-AG; 1891; https://www.digishelf.de/piresolver?id=184479427X
