PPN; Jahr; Titel; Publisher
PPN1015522602; 1200; Sammlung monastischer Schriften und Auszüge von verschiedenen Autoren; none
PPN1015528252; 1898; Schriften; none
PPN1015534023; 1600; Syrisches Medizinbuch; none
PPN101576049X; 1700; at- Tamḥīd fī bayān at- tauḥīd; none
PPN1016197454; 1800; Memorbuch der deutschen Gemeinde in Modena; none
PPN1017719659; 1800; Neṣāb Türkī Tūrān; none
PPN1018528016; 1500; Arabische Sammelhandschrift; none
PPN1018540504; 1700; Sīrat al-Ḥākim (Band 2); none
PPN1018540652; 1700; Sīrat al-Ḥākim (Band 3); none
PPN1018540830; 1700; Sīrat al-Ḥākim (Band 4); none
PPN1018540997; 1700; Sīrat al-Ḥākim (Band 5); none
PPN1018541101; 1700; Sīrat al-Ḥākim (Band 6); none
PPN1018541217; 1700; Sīrat al-Ḥākim (Band 7); none
PPN1018541322; 1700; Sīrat al-Ḥākim (Band 8); none
PPN1018541411; 1683; Šarḥ al-Arbaʿīn li-n-Nawawī; none
PPN1018542167; 1700; Arabische Sammelhandschrift; none
PPN1018581898; 1836; Hikayat Boma dan Hikayat Kerasana; none
PPN1018588175; 1600; Sermo de philosophia; none
PPN1018607013; 1700; Sīrat al-Ḥākim (Band 1); none
PPN1019305878; 1500; al-Maurid al-aṣfā fī ʿulūm ḥadīṯ al-muṣṭafā; none
PPN1020163399; 1555; Hebräische Sammelhandschrift; none
PPN1020769416; 1600; Arabische Sammelhandschrift; none
PPN1020770201; 1858; Ladun-nāme; none
PPN1020778318; 1803; Natīğat as-sulūk fī nasīḥāt al-mulūk; none
PPN1022458086; 1592; Dīwān; none
PPN1022460323; 1199; Tahḏīb šarḥ as-sabʿ al-muʿallaqāt; none
PPN1022461184; 1700; Qiṣṣat ʽAntar; none
PPN1022462539; 1794; Maqāle-i reʾīs el-asḫiyāʾ Ḥātim Ṭayyiʾ ve-ʿAntara; none
PPN1022464132; 1485; Ta'rīḫ Ibn-Kaṯīr; none
PPN1022464736; 1678; al-Fatḥ al-mubīn bi-šarḥ al-Arbaʿīn; none
PPN102298845X; 1229; K. al-Maʽārif; none
PPN1023146223; 1700; Arabische Sammelhandschrift; none
PPN1023173948; 1912; Selīmīye; none
PPN1023460416; 1564; Ǧāmiʿ al-muršidīn; none
PPN102354847X; 1600; Šāh wa-gadā; none
PPN1024347605; 1800; Jemenitische Briefe; none
PPN1024454118; 1740; Rauḍat al-anfus fi-t-tārīḫ; none
PPN102447576X; 1803; Sammlung von Gedichten ܡܐܡܪ̈ܐ; none
PPN1025513630; 1867; Rukmāṅgadacarita (Nāradīyapuraṇa); none
PPN1025514785; 1774; Vocabularies of the language spoken in the Isles of the South-Sea and of various dialects which have an affinity to it; with some observations for the better understanding of them; none
PPN1025516249; 1800; Indische Sammelhandschrift; none
PPN1025523962; 1800; Indische Sammelhandschrift; none
PPN1026023807; 1800; Kitāb fī ʿilm al-maǧāz; none
PPN1026779863; 1572; Nuzhat al-arīb ḥaiṯu lam yūǧad aṭ-ṭabīb wa-ḍammamat ilaihā mā yalzimu al-ḥukkām min umūr as-siyāsāt; none
PPN1027333702; 1800; Rājataraṅginī; Teile aus Taraṅga 7 und 8; none
PPN1027352871; 1600; Piyuṭim; none
PPN1027491979; 1580; Gedichte; none
PPN1027495079; 1400; Sammlung monastischer Literatur; none
PPN1027495818; 1400; Sammlung monastischer Literatur; none
PPN1027496512; 1851; Gedichte; none
PPN1027511465; 1885; Sammelhandschrift; none
PPN1027524338; 1600; Sammlung von Briefen und Beschlüssen marokkanischer Gelehrter; none
PPN1027629490; 1890; Memre; none
PPN1027631339; 1700; Gedichte; none
PPN1027815197; 1500; Hebräische Sammelhandschrift; none
PPN1027936555; 1300; Maḥzor le-Rosh ha-Shanah : Fragment; none
PPN102795636X; 1543; Imre noʾash : Vorwort und Reimlexikon; none
PPN1028178050; 1800; Sammlung von Briefen und Dokumenten; none
PPN1028819226; 1700; Šarḥ Dāʾirat aš-šaiḫ aš-Šāḏilī; none
PPN1028819463; 1297; Arabische Sammelhandschrift; none
PPN1028823738; 1600; Mafteaḥ ha-refuʾah; none
PPN1029390959; 1875; Dīwān; none
PPN1029399336; 1300; Arabische Sammelhandschrift; none
PPN1030129983; 1684; Tuḥfat al-qulūb; none
PPN103039878X; 1789; Ṣiḥāḥ al-aḫbār fī nasab as-sāda al-Fāṭimīya al-aḫyār; none
PPN1030645892; 1737; Ḥāšīya ʽalā 'l-Fawāʾid aḍ-Ḍiyāʾīa; none
PPN103064697X; 1665; Šarḥ al-Kāfīya; none
PPN1030648573; 1661; al-Ǧuzʾ aṯ-ṯānī min Rauḍat al-Ḥaǧūrī al-musammāt rauḍat al-aḫbār wa-kunūz al-asrār wa-nukat al-āṯār; none
PPN1030648883; 1834; al-Aġānī al-kabīr; none
PPN1030649049; 1738; Kitāb Sīra maulānā ... al-Imām al-Mahdī li-Dīn Allāh aš-Šahīd fī sabīl Allāh Amīr al-Muʾminīn Aḥmad Ibn-al-Ḥusain Ibn-Aḥmad Ibn-al-Qāsim Ibn-Rasūlallāh; none
PPN1030649219; 1640; Qaṣīda nūnīya fī madḥ banī qaḥṭān; none
PPN1030649553; 1531; Rauḍat aš-šuhadāʾ; none
PPN1030649863; 1846; Sirāǧ al-qulūb; none
PPN1030650055; 1591; Hāḏā šarḥ al-Kāfīya; none
PPN1030650853; 1765; Katholischer Katechismus; none
PPN1030651302; 1554; Qiṣaṣ al-anbiyāʾ; none
PPN1030652287; 1852; Nikāt-ush-Shuʿarā; none
PPN103065350X; 1228; An-Nawādir as-sulṭānīya wa-'l-maḥāsin al-yūsufīya; none
PPN103083816X; 1735; Dokumente zu Erbschaftsangelegenheiten der Familie Berdugo; none
PPN1030844860; 1420; al- Kaukab as-sārī fī šarḥ al-Buḫārī; none
PPN1030937001; 1800; Hikayat Sultan Mahmud Aznawi; none
PPN1030937486; 1846; Malaiische Sammelhandschrift; none
PPN1030940231; 1800; Hikayat Semaun; none
PPN1030940754; 1800; Malaiische Sammelhandschrift; none
PPN1030950350; 1575; Ḥadāʾiq ar-raiḥān fī tarǧamat Šaqāʾiq an-nuʿmān; none
PPN1030950423; 1816; Kašf al-ḥaẓāʾir ʿan al-Ašbāh wa-n-naẓāʾir; none
PPN1031005374; 1847; Erläuternder Text zu einer pantomimischen Vorstellung; none
PPN1031005900; 1847; Carita Sinden; none
PPN1031006184; 1847; Tjerita Sienden; none
PPN1031376097; 1700; Qiṣaṣ adabīya min ad-diyāna; none
PPN103137647X; 1700; [Drusenschrift]; none
PPN1031658084; 1275; Testamentum novum; none
PPN1031795693; 1700; Dīwān; none
PPN1031795758; 1800; [Sammelhandschrift]; none
PPN1031795804; 1700; Tārīḫ aš-šaiḫ Saʿīd Ibn-Muḥammad as-Sammān; none
PPN1031825789; 1921; Bod-yig bslab-byavi dpe-cha gsum-pa; none
PPN1031912614; 1700; Divre Neḥemiah; none
PPN1032233524; 1700; Konvolut von rabbinischen Dokumenten jüdischer Gemeinden in Nordafrika; none
PPN1032325011; 1922; Ka-khavi dpe-cha; none
PPN103232743X; 1921; Bod-yig bslab-byavi dpe-cha dang-po; none
