PPN; Jahr; Titel; Publisher
PPN1741928966; 1904; 痘疹科 3卷; none
PPN1741930456; 1900; [脈藥歌訣]; none
PPN1741938481; 1800; [脈藥]手抄本; none
PPN1741940486; 1800; 鬼子翻語書; none
PPN174194113X; 1840; 瀕湖脈學; none
PPN1741957508; 1940; [針灸雜抄]; none
PPN1741957931; 1900; 全抄小兒推拿廣意; none
PPN1741958369; 1900; [傷寒證治]; none
PPN1741958679; 1916; 寒濕跌打斧砍金瘡公選良方; none
PPN1741959330; 1930; 親驗針灸彙錄; none
PPN1741959675; 1930; [近代諸家醫案摘抄]; none
PPN174196248X; 1800; 廣瘟疫論; none
PPN1741963036; 1900; 吳又可瘟疫論; none
PPN1741963591; 1900; 圖注脈訣辨真; none
PPN1741963818; 1950; [成方藥目]; none
PPN1741964032; 1900; 秘集良方; none
PPN1741964172; 1900; 痘科秘訣; none
PPN1741964326; 1900; 脈法; none
PPN1741964482; 1900; 脈訣; none
PPN1741965039; 1900; [兒科雜抄]; none
PPN1741965217; 1900; 脈學輯要; none
PPN1741965519; 1900; 內經運氣病釋; none
PPN1741965748; 1900; 萬氏秘傳片玉心書; none
PPN1741965853; 1812; 傷寒科幷小兒科; none
PPN1741966035; 1886; 脈訣秘傳; none
PPN1741967376; 1947; 珍珠對症叙; none
PPN1741967503; 1894; 圖本小兒科金鑒; none
PPN1741967732; 1900; 烏金丸松煙丹黑神丸; none
PPN1741967856; 1903; 眼科百問; none
PPN1741967910; 1900; 針灸科; none
PPN1741967996; 1900; 脈說; none
PPN1741968089; 1900; 秘傳喉科; none
PPN1741968178; 1900; 脈訣精選; none
PPN1741968240; 1900; 產後秘書; none
PPN174196833X; 1800; 四言藥性; none
PPN1741968380; 1900; 痘疹心法要訣; none
PPN1741968445; 1900; 用藥治症捷要歌括; none
PPN1741968488; 1800; 經穴指南; none
PPN1741968909; 1900; [外科圖說及醫方]; none
PPN1741968933; 1900; 醫宗金鑒.四診心法要訣; none
PPN1741968968; 1800; 女科要旨; none
PPN1741968992; 1800; 醫學從衆錄; none
PPN1741969042; 1900; 小兒總論; none
PPN1741969085; 1900; 脈理彚纂; none
PPN174196914X; 1800; 胎産指南; none
PPN1741969174; 1936; 眼科神效錄; none
PPN1741969212; 1930; 藥性賦; none
PPN1741969239; 1900; 叔和脈訣.診法捷要; none
PPN1742041051; 1700; Arabische Sammelhandschrift; none
PPN1742041752; 1599; Dīwān; none
PPN1742042074; 1500; Arabische Sammelhandschrift; none
PPN1742043941; 1407; Miftāḥü’l-edeb; none
PPN1742497144; 1688; Arabische Sammelhandschrift; none
PPN1742497616; 1882; Liber principum; none
PPN1742991262; 1840; Sirr al-adab fī maǧārī kalām al-ʿArab; none
PPN1742991467; 1834; Arabische Sammelhandschrift; none
PPN1743773730; 1500; Sammelhandschrift; none
PPN1743974418; 1700; Arabische Sammelhandschrift; none
PPN174397521X; 1800; Arabische Sammelhandschrift; none
PPN1743975759; 1747; Arabische Sammelhandschrift; none
PPN1743977352; 1170; Manāqib al-Imām Abī-ʿAbdallāh Aḥmad Ibn-Muḥammad Ibn-Ḥanbal; none
PPN1743985835; 1055; Arabische Sammelhandschrift; none
PPN1744190534; 1600; Arabische Sammelhandschrift; none
PPN1744583234; 1900; [Incipit: Xomc sva-sti si-dham bla-ma dam-pavi zhabs-la gus-pas phyag-vtshal-lo sku gsum mngon-du gyur-pavi ston-pa sangs-rgyas dang]; none
PPN1744885265; 1389; Al-Badā'iʿ wa-'l-asrār fī ḥaqīqat ar-radd wa-'l-intiṣār wa-ġāmiḍ mā iǧtamaʿat ʿalaihi ar-rumāt bi-'l-amṣār; none
PPN1744944709; 1689; Ḍiyāʾ al-qulūb fi aḫlāq al-maṭlūb; none
PPN1744945160; 1689; Hadīya-i šāhī dar hidāyat-i ṭuruq-i ilāhī; none
PPN1744945888; 1600; Arabische Sammelhandschrift; none
PPN1744951268; 1300; Arabische Sammelhandschrift; none
PPN1744953937; 1737; [Ein ethisches Werk]; none
PPN1744956006; 1505; Ḏaḫīrat al-mulūk; none
PPN1744956685; 1493; Ḏaḫīrat al-Mulūk; none
PPN1745032983; 1713; ar-Rauḍ an-nasīm wa-'d-durr al-yatīm fī manāqib as-Sulṭān Ibrāhīm; none
PPN1745033971; 1737; Arabische Sammelhandschrift; none
PPN1745054782; 1676; Manhal al-wurrād fi 'l-ḥaṯṯ ʿalā qirāʾat al-aurād wa-tuḥfat al-mulūk li-man arād taḥrīr as-sulūk; none
PPN1745074716; 1834; Hašt Bihišt; none
PPN1745158960; 1700; Gülšen-i Rāz terǧemesi; none
PPN174516135X; 1824; Risāle-i ʿArūsiye; none
PPN174525630X; 1785; Sīrat ʿAntar; Band 3; none
PPN1745258477; 1785; Sīrat ʿAntar; Band 2; none
PPN1745258914; 1785; Sīrat ʿAntar; Band 1; none
PPN1745259252; 1421; [Erbauliche Bearbeitung der Sure Yūsuf]; none
PPN1745260390; 1800; Qiṣṣat Yūsuf; none
PPN1745261257; 1785; Tārīḫ wafāh al-Ḥasan wa-mā ǧarā lahū maʿ Muʿāwīya; none
PPN1745262342; 1822; Kitāb al-muḫtār fī ḥadīṯ al-Muḫtār; none
PPN1745263624; 1840; Aḫbār maqtal al-Ḥusain; none
PPN1745272178; 1500; Sammelhandschrift; none
PPN1745290982; 1748; Arabische Sammelhandschrift; none
PPN1745820221; 1525; Ḫamsetü’l-müteḥayyirīn; none
PPN1745935886; 1899; 欽定大清會典事例 卷49 至 卷56; none
PPN1745985654; 1800; Sīrat ʿAntar; Band 7; none
PPN1745986243; 1835; Kitāb Ḥikāyat al-Malik al-Ǧarkasī wa-ḏikr ḥarbahū maʿ Banī Hilāl wa-ašʿāruhum wa-mā ǧarā bainihim; none
PPN1746705817; 1834; Rustam at-Tawārīḫ; none
PPN1747391964; 1494; Nuzhat dawī al-ʿuqūl fī nasab āl ar-rasūl; none
PPN1747404209; 1763; Arabische Sammelhandschrift; none
PPN1747447757; 1612; Kitāb al-malhūf ʿalā qutalāʾ aṭ-ṭafūf; none
PPN1747756172; 1844; [Sammlung volkstümlicher Erzählungen]; none
PPN1747982415; 1793; Sīrat ʿAntar; Band 40; none
PPN1747983446; 1785; Sīrat ʿAntar; Band 28; none
PPN1747984450; 1785; Sīrat ʿAntar; Band 10; none
PPN1747984922; 1785; Sīrat ʿAntar; Band 9; none
PPN1747985651; 1785; Sīrat ʿAntar; Band 8; none
PPN1747986453; 1785; Sīrat ʿAntar [Fragment]; none
PPN1748005170; 1500; Arabische Sammelhandschrift; none
PPN1748066544; 1701; Arabische Sammelhandschrift; none
PPN1748067532; 1665; Arabische Sammelhandschrift; none
PPN1748068482; 1737; Aḫlāq-i humāyūnī; none
PPN174806911X; 1495; [Abhandlung über Alchemie]; none
PPN1748069578; 1591; Asās al-wāfī; none
PPN1748096532; 1785; Osmanisch-Türkische Sammelhandschrift; none
PPN1748105663; 900; Fragmente; none
PPN1748108190; 0900; [Homiletica]; none
PPN1748108832; 900; Epistulae festales; none
PPN1748137336; 1591; [Abhandlung über Astronomie und mathematische Geographie]; none
PPN1748137581; 1591; [Abhandlung über Einrichtung und Gebrauch des Astrolabs]; none
PPN1748138081; 1591; Zīǧ-i Uluġ Beg; none
PPN1748138936; 1591; Zīǧ-i Uluġ Beg; none
PPN1748139967; 1729; Dastūr al-ʿamal fī taṣḥīḥ al-ǧadwal; none
PPN1748140426; 1741; [Astronomisches Jahrbuch]; none
PPN174814071X; 1591; [Astrologisches Werk]; none
PPN1748140957; 1834; Dānišnāma-i ǧahān; none
PPN1748141252; 1835; Bhūgōl; none
PPN1748141988; 1830; Masīr-i Ṭālibī fī bilād-i Afranǧī; none
PPN1748142305; 1591; Taʾrīḫ-i Balʿamī; none
PPN1748143018; 1689; Taʾrīḫ-i Balʿamī; none
PPN1748435116; 1568; Ḫulāṣat al-aḫbār fī bayān aḥwāl al-aḫyār; none
PPN1748435809; 1606; Ḫulāṣat al-aḫbār fī bayān aḥwāl al-aḫyār; none
PPN1748436392; 1607; Ḫulāṣat al-aḫbār fī bayān aḥwāl al-aḫyār; none
PPN1748438549; 1708; ʿAǧāʾib al-buldān; none
PPN1748439162; 1689; Ašǧār wa aṯmār; none
PPN1748439944; 1679; Aḥkām al-aʿwām; none
PPN1748440519; 1624; Nuzhat al-qulūb; none
PPN1748441043; 1786; [Lehrbuch zur allgemeinen Geschichte]; none
PPN1748441590; 1736; Mirʾāt-i ǧahān-namā; none
PPN1748520962; 1689; Rauḍat aṭ-Ṭāhirīn; none
PPN1748521446; 1834; Taʾrīḫ-i baḥr al-mauwāǧ [ǧuzʾ 1]; none
PPN1748522051; 1834; Taʾrīḫ-i baḥr al-mauwāǧ [ǧuzʾ 2]; none
PPN1748522450; 1834; Taʾrīḫ-i baḥr al-mauwāǧ [ǧuzʾ 3]; none
PPN1748522779; 1834; Taʾlīf-i Muḥammadī; none
PPN1748523147; 1834; Taʾrīḫ-i baḥr al-mauwāǧ [ǧuzʾ 3]; none
PPN1748524437; 1834; Muǧmal at-taʾrīḫ baʿd Nādirīya; none
PPN1748525573; 1834; [Eine Geschichte Irans von der Zand-Dynastie bis zur Thronbesteigung des Fatḥ ʿAlī Šāh]; none
PPN1748526154; 1683; Tārīḫ-i ʿālimārā-i ʿAbbāsī; none
PPN1748526723; 1591; [Lehrbuch über die Geschichte Šāh ʿAbbās und seines Nachfolgers]; none
PPN174866493X; 1852; [Eine Geschichte des Sultans Muḥammad Fātiḥ]; none
PPN1748666223; 1689; Futūḥāt-i Salīm Šāh Ḫān; none
PPN1748666495; 1689; [Eine Geschichte des Sultan Sulaimān I]; none
PPN1748666770; 1558; Ẓafarnāma; none
PPN1748667041; 1591; Ẓafarnāma; none
PPN1748668609; 1786; Ẓafarnāma; none
PPN1748669044; 1703; Taʾrīḫ-i Firišta; none
PPN1748669362; 1689; Muntaḫab at-tawārīḫ; none
PPN1748670832; 1783; Zubdat at-tawārīḫ; none
PPN1748671286; 1766; Dastūr al-ʿamal; none
PPN1748671553; 1786; Dastūr al-ʿamal; none
PPN1748671960; 1591; Tazūkāt-i Tīmūrī; none
PPN1748672460; 1846; Tarǧuma-i Amīnī; none
PPN1748673157; 1591; Taʾrīḫ-i Fīrūzšāhī; none
PPN1748673564; 1786; Tārīḫ-i Muẓaffarī; none
PPN1748674250; 1786; [Ein Lehrbuch zur Geschichte Indiens]; none
PPN1748675435; 1786; Akbar-nāma; none
PPN1749048892; 1764; Arabische Sammelhandschrift; none
PPN1749055678; 1650; Arabische Sammelhandschrift; none
PPN1749057530; 1400; Sammelhandschrift; none
PPN1749061791; 1305; at- Taḫlīṣ fī ʿilm al-farāʾiḍ; none
PPN1749173212; 1217; Sirāǧ al-mulūk; none
PPN1749193795; 1785; Ǧahāngīrnāma; none
PPN1749194198; 1786; Iqbālnāma-i Ǧahāngīrī; none
PPN1749194546; 1794; Iqbālnāma-i Ǧahāngīrī; none
PPN1749195046; 1792; Fatḥa-i ʿibarīya; none
PPN1749196026; 1742; Maʾāṯir-i ʿĀlamgīrī; none
PPN1749196689; 1794; Haft gulšan-i Muḥammad Šāhī; none
PPN1749255847; 1918; Ermeni tārīḫi; none
PPN1749256479; 1785; Sīrat ʿAntar; Band 4; none
PPN1749256851; 1785; Sīrat ʿAntar; Band 5; none
PPN1749257211; 1785; Sīrat ʿAntar; Band 6; none
PPN1749257629; 1785; Sīrat ʿAntar; Band 7; none
PPN1749258145; 1785; Sīrat ʿAntar; Band 11; none
PPN174925848X; 1785; Sīrat ʿAntar; Band 12; none
PPN1749259044; 1761; Sīrat ʿAntar; none
PPN1749260964; 1785; Sīrat ʿAntar; none
PPN1749263416; 1785; Sīrat ʿAntar; Band 17; none
PPN1749264005; 1785; Sīrat ʿAntar; Band 18/19; none
PPN1749264749; 1785; Sīrat ʿAntar; none
PPN1749420864; 1800; 方藥歌訣; none
PPN1749465809; 1800; 診視精言; none
PPN1749466783; 1900; 兒科摘抄; none
PPN1749469944; 1800; 摘錄四聖心源; none
PPN1749471280; 1800; 金丹四百字內外注解; none
PPN1749472279; 1800; 喉科指掌; none
PPN174947297X; 1900; 方藥抄本; none
PPN1749474131; 1930; 中國新聞指導全書; none
PPN1749474859; 1900; 周易內秘丁甲大法; none
PPN1749475472; 1935; 瘟疫論; none
PPN1749476282; 1900; 藥物雜抄; none
PPN1749476703; 1900; 揀選眼目諸症之妙方; none
PPN174947705X; 1900; 瀕湖脈學; none
PPN1749992116; 1785; Sīrat ʿAntar; Band 26; none
PPN1749992299; 1785; Sīrat ʿAntar [Fragment]; none
PPN1749992515; 1785; Sīrat ʿAntar; none
PPN1749992639; 1785; Sīrat ʿAntar; none
PPN1749992736; 1785; Sīrat ʿAntar; none
PPN1749992817; 1785; Sīrat ʿAntar [Fragment]; none
PPN1749992841; 1785; Sīrat ʿAntar; Band 42/43; none
PPN1749992868; 1785; Sīrat ʿAntar [Fragment]; none
PPN1749992876; 1785; Sīrat ʿAntar [Fragment]; none
PPN1749992914; 1785; Sīrat ʿAntar; Band 41; none
PPN1750230542; 1786; Persische Sammelhandschrift; none
PPN1750231921; 1786; Riyāḍ as-salāṭīn; none
PPN1750232332; 1786; Taʾrīḫ-i Bangālā; none
PPN1750232707; 1767; [Lehensgüter des manṣabdār in Bengalen]; none
PPN1750233126; 1786; Kāġadāt-i ṣauba-i Bihār; none
PPN1750233495; 1786; [Verzeichnis von Landpächtern in der Faṣlī-Ära]; none
PPN1750233967; 1786; [Übersicht über die finanzielle Leistungsfähigkeit des Sirkār von Šāhābād und Rhotās in Bihār]; none
PPN1750234602; 1834; ʿImād as-saʿāda; none
PPN1750235099; 1786; Mirʾāt-i Sikandarī; none
PPN1750235617; 1637; Mirʾāt-i Sikandarī; none
PPN1750428040; 1700; Varia Mongolica, Tibetanica; none
PPN1750438763; 1830; Arabische Sammelhandschrift; none
PPN175052984X; 1409; Arabische Sammelhandschrift; none
PPN1750532573; 1737; Sammelhandschrift; none
PPN1750559617; 1900; 產後藥方; none
PPN175079957X; 1919; aš-Šumūs az-zāhira wa-l-anwār al-muḍīʾa al-bāhira; none
PPN1750799855; 1903; Fatḥ kanz al-ḫafāʾ šarḥ Tāʾīyat Baḥr aṣ-ṣafāʾ; none
PPN1750801957; 1900; Tuḥfat al-muḥtāǧ li-ṭālib al-ʿilāǧ; none
PPN1750802279; 1901; Lawāmiʿ al-anwār wa-rauḍ al-azhār fi 'r-radd ʿalā man ankara ʿala 'l-mutakallimin bi-alsinat al-aḥwāl wa-l-asrār; none
PPN1750804492; 1883; ar-Rasāʾil al-kubrā; none
PPN1750805596; 1916; Masāǧid Dār as-Salām Baġdād; none
PPN1750818930; 1200; Arabische Sammelhandschrift; none
PPN1750857057; 1786; Persische Sammelhandschrift; none
PPN1751174670; 1300; Theologische Sammelhandschrift; none
PPN1751194310; 1786; Tawārīḫ-i Kašmīr; none
PPN1751574156; 1689; Waqāyiʿ-i Gulkunda; none
PPN1751574571; 1786; Aḥwāl-i Mādhūǧī Sīndhiya; none
PPN1751574695; 1800; [Eine Sammlung von 125 Verordnungen des Tipu Sultan von Maisūr]; none
PPN1751575373; 1786; [Eine Schrift zur Geschichte Anglo-Indiens in der zweiten Hälfte des achtzehnten Jahrhunderts]; none
PPN1751575519; 1786; Aḫbār aṣ-ṣidq; none
PPN1751575853; 1786; [Eine Schrift zu drei Themen aus der Geschichte Indiens]; none
PPN1751577082; 1800; ʿAǧāʾib al-wāridāt; none
PPN1751577317; 1500; Sammelhandschrift; none
PPN1751589463; 1699; Arabische Sammelhandschrift; none
PPN1751592103; 1700; Arabische Sammelhandschrift; none
PPN1751595242; 1397; Kitāb šurūṭ al-imāma wa-siyāsat al-mamlaka; none
PPN1751595943; 1700; Osmanisch-Türkische Sammelhandschrift; none
PPN1751598993; 1689; Laṭāʾif al-kirām fī aḥkām al-aʿwām; none
PPN1751599620; 1591; Muḫtaṣar dar uṣūl-i ḫaṭṭ; none
PPN1751600475; 1590; [Ḫulāṣat al-wafā bi-aḫbār dār al-Muṣṭafā]; none
PPN1751732924; 1900; 外科正宗; none
PPN1751734366; 1900; 脈理摘要; none
PPN1751835324; 1900; 針灸彙抄; none
PPN1751835731; 1900; 眼科方書; none
PPN1751835774; 1940; 針灸彙集; none
PPN175183588X; 1900; 藥及方雜抄; none
PPN1751835944; 1930; 醫藥雜抄; none
PPN1751836142; 1800; 眼科.附疔毒外科; none
PPN1751836231; 1900; 藥性跌打損傷; none
PPN1751836290; 1940; 四言藥性; none
PPN1751841812; 1786; Farāʾid al-fawāʾid dar aḥwāl-i madāris wa masāǧid; none
PPN1751841936; 1630; Dar bāb-i ḫarǧ-i taʿmīr-i Tāǧ Ganǧ; none
PPN1751842487; 1786; Afṣaḥ al-aḥwāl; none
PPN1751842851; 1689; Maǧmaʿ al-ḥasanāt; none
PPN1751843068; 1786; Tabṣirat al-anwār wa taḏkirat asrār Saiyid al-abrār; none
PPN1751843297; 1300; Sammelhandschrift; none
PPN1751844218; 1397; Kitāb Ṣuwar al-kawākib; none
PPN1751844501; 1628; Al-bāriʿ al-madḫal ilā aḥkām an-nuğūm wa-'ṭ-ṭawāliʿ; none
PPN1751846369; 1568; Arabische Sammelhandschrift; none
PPN1751847454; 1688; al- Mulaḫḫaṣ fi 'l-haiʾa; none
PPN1751847926; 1688; Šarḥ al-mulaḫḫaṣ fi 'l-haiʾa; none
PPN1751848345; 1835; Šarḥ al-mulaḫḫaṣ fi 'l-haiʾa; none
PPN1751849481; 1700; Osmanisch-Türkische Sammelhandschrift; none
PPN1751852016; 1700; Ḫulāṣat al-haiʾa; none
PPN1751852326; 1700; Rūz-nāme; none
PPN1751852660; 1631; Arabische Sammelhandschrift; none
PPN1752045718; 1500; Arabische Sammelhandschrift; none
PPN1752050053; 1400; Arabische Sammelhandschrift; none
PPN1752052315; 1400; Arabische Sammelhandschrift; none
PPN1752054989; 1600; Sammelhandschrift; none
PPN1752060040; 1688; Arabische Sammelhandschrift; none
PPN1752071883; 1800; 痘疹定論; none
PPN1752073630; 1800; 祖傳秘方; none
PPN1752074262; 1800; 藥性摘要; none
PPN1752077164; 1900; 外科正宗; none
PPN1752077830; 1918; 分經藥性; none
PPN1752078845; 1900; 醫理集抄; none
PPN1752081730; 1920; 喉科指掌; none
PPN1752081803; 1800; 丸散膏丹; none
PPN1752081862; 1900; 藥性歌括; none
PPN1752081943; 1900; 經穴名稱; none
PPN1752082001; 1900; 醫宗金鑒.雜病心法要訣; none
PPN1752082087; 1800; 瀕湖脈學; none
PPN175208215X; 1894; 脈藥雜抄; none
PPN1752579313; 1862; Syrische Sammelhandschrift; none
PPN1752812433; 1800; So-ba rig-pavi bstan-bcos mes-povi dgongs-rgyan zhal-lung gsal-vbyed bai-dcvur sngon-povi malli-ka zhes bya-ba las skabs-bdun-pa men; none
PPN1753940109; 1785; Sīrat ʿAntar; Band 47; none
PPN175394158X; 1785; Sīrat ʿAntar; Band 49; none
PPN1753942535; 1785; Sīrat ʿAntar; Band 50-51; none
PPN1753942918; 1785; Sīrat ʿAntar; Band 53; none
PPN1753943361; 1785; Sīrat ʿAntar; Band 54; none
PPN1753947499; 1785; Sīrat ʿAntar; Band 58; none
PPN1753948266; 1853; Sīrat ʿAntar; Band 1; none
PPN1753949467; 1742; Sīrat ʿAntar; Band 60; none
PPN175472485X; 1689; Rauḍat al-aḥbāb fī siyar an-Nabī wa-'l-āl wa-'l-aṣḥāb [juzʾ 2]; none
PPN1754958486; 1815; Durr-i Bībahāʾ; none
PPN1754958567; 1689; Āṯār-i Aḥmadī; none
PPN1755106858; 1765; Sukkardān as-sulṭān; none
PPN1755107021; 1817; Futūḥ al-Yaman; none
PPN1755348576; 1700; Arabische Sammelhandschrift; none
PPN1755356935; 1853; Sīrat ʿAntar; Schluss; none
PPN1755358091; 1853; Sīrat ʿAntar; Band 1; none
PPN1755358792; 1853; Sīrat ʿAntar; Band 2; none
PPN1755360746; 1853; Sīrat ʿAntar; Band 3; none
PPN1755361130; 1853; Sīrat ʿAntar; Band 4; none
PPN1755361890; 1853; Sīrat ʿAntar; Band 6; none
PPN1755365004; 1853; Sīrat ʿAntar; Band 8; none
PPN1755366973; 1853; Sīrat ʿAntar; Band 9; none
PPN1755369344; 1853; Sīrat ʿAntar; Band 10; none
PPN1755369883; 1853; Sīrat ʿAntar; Band 11; none
PPN1755370369; 1853; Sīrat ʿAntar; Band 12; none
PPN1755403445; 1853; Sīrat ʿAntar; Band 13; none
PPN1755403496; 1853; Sīrat ʿAntar; Band 14; none
PPN1755403542; 1853; Sīrat ʿAntar; Band 15; none
PPN1755403631; 1853; Sīrat ʿAntar; Band 16; none
PPN175540395X; 1853; Sīrat ʿAntar; Band 17; none
PPN1755404581; 1853; Sīrat ʿAntar; Band 18; none
PPN1755404840; 1853; Sīrat ʿAntar; Band 19; none
PPN1755405863; 1650; Kitāb Zahr al-kimām fī qiṣṣat Yūsuf ʽalaihi s-salām; none
PPN1755852959; 1900; [長年醫局輯方]; none
PPN1756001081; 1826; Liber paradisum rerum a patribus gestarum; none
PPN1756001839; 1841; Gedichtsammlung; none
PPN1756033765; 1649; Syrische Sammelhandschrift; none
PPN1756553866; 1629; Markaz al-iḥāṭa bi-udabāʾ Ġarnāṭa; none
PPN1756590354; 1500; Arabische Sammelhandschrift; none
PPN1756592675; 1900; Sammelhandschrift; none
PPN175691608X; 1853; Sīrat ʿAntar; Band 32; none
PPN1756917051; 1853; Sīrat ʿAntar; Band 34; none
PPN1756917760; 1853; Sīrat ʿAntar; Band 35; none
PPN1756918139; 1853; Sīrat ʿAntar; Band 36; none
PPN1756919992; 1853; Sīrat ʿAntar; Band 38; none
PPN1756920362; 1853; Sīrat ʿAntar; Band 39; none
PPN1756920710; 1853; Sīrat ʿAntar; Band 40; none
PPN1756921334; 1853; Sīrat ʿAntar; Band 41; none
PPN175692192X; 1800; Sīrat aẓ-Ẓāhir Baibars; none
PPN1757455396; 1700; Sammelhandschrift; none
PPN1757499644; 1750; Lawāqiḥ al-fikr fī aḫbār man ġabar; none
PPN1757502378; 1750; Lawāqiḥ al-fikr fī aḫbār man ġabar; none
PPN1757545123; 1286; at-Tibyān fī ādāb ḥamalat al-Qurʾān; none
PPN175754559X; 1326; at-Tibyān fī ādāb ḥamalat al-Qurʾān; none
PPN1757547460; 1454; Arabische Sammelhandschrift; none
PPN1757612890; 1194; Tafsīr Yaḥyā an-Naḥwī li-Kitāb Ǧālīnūs fi 'n-nabaḍ; none
PPN175766677X; 1700; ʿAntar-nāme; none
PPN175776979X; 1700; Arabische Sammelhandschrift; none
PPN1757959254; 1600; Sammlung von Gebeten; none
PPN1758177373; 1600; Salomonische und prophetische Schriften; none
PPN1758178353; 1600; Sirach, Daniel, Esra; none
PPN1758644486; 1600; 2Szî xsher xDdu 3Nv, 2gkv-3chung; none
PPN1758740027; 1600; 2Szî xsher xDdu 3Nv, 2gkv-3chung; none
PPN1758740558; 1600; 2Szî xsher xDdu 3Nv, 2gkv-3chung; none
PPN1758740671; 1600; 2Szî xsher xDdu 3Nv, 2gkv-3chung; none
PPN175874166X; 1600; 2Szî xsher xDdu 3Nv, 2gkv-3chung; none
PPN1759024554; 1600; Kitāb Nūr al-ʿain wa-ǧāmiʿ al-funūn; none
PPN1759057649; 1800; [Sammlung von Wirtschaftstexten aus Turfan]; none
PPN1759064831; 1719; al- Īḍāḥ fī šarḥ Maqāmāt al-Ḥarīrī; none
PPN1759066168; 1840; Arabische Sammelhandschrift; none
PPN1759149098; 1400; Arabische Sammelhandschrift; none
PPN1759163732; 1883; 醫宗金鑒[幼科種痘心法]; none
PPN1759165360; 1900; 醫宗金鑒.痘疹心法要訣; none
PPN1759166758; 1934; 外科摘要; none
PPN1759167452; 1900; 痘疹; none
PPN1759259012; 1741; Safīnat Baḥr al-muḥīt; none
PPN1760556963; 1927; [Fotos von Gotthold Weils Orientreise 1927-1928]; none
PPN1760729167; 1400; Arabische Sammelhandschrift; none
PPN1760901741; 1855; Āṯār-i Aḥmadī; none
PPN1760903477; 1689; [Legendhafte Geschichte vom Tode Ḥusains und anderer Märtyrer seiner Zeit]; none
PPN1760904473; 1687; [Legendhafte Geschichte vom Tode Ḥusains und anderer Märtyrer seiner Zeit]; none
PPN1760904996; 1786; Ḍiyāʾ al-muʾminīn; none
PPN1760906026; 1863; Surūr al-muʾminīn; none
PPN1760906379; 1726; Arabische Sammelhandschrift; none
PPN1760908894; 1600; Arabische Sammelhandschrift; none
PPN176138757X; 1786; Risāla-i Ṣaidīya; none
PPN1761403397; 1785; Sīrat al-Malik Baibars; none
PPN1761403761; 1785; Sīrat al-Malik Baibars; none
PPN1761427091; 1785; Sīrat al-Malik Baibars; none
PPN1761427385; 1785; Sīrat al-Malik Baibars; none
PPN1761428195; 1785; Sīrat al-Malik Baibars; none
PPN1761428446; 1785; Sīrat al-Malik Baibars; none
PPN1761428535; 1785; Sīrat al-Malik Baibars; none
PPN1761959034; 1785; Sīrat al-Malik Baibars; none
PPN1762888165; 1688; Arabische Sammelhandschrift; none
PPN176314786X; 1511; Müršid el-muḥāsibīn; none
PPN1763149080; 1700; Arabische Sammelhandschrift; none
PPN1763732002; 1700; Arabische Sammelhandschrift; none
PPN176374731X; 1697; Kitāb al-haiʾa as-sanīya fi 'l-haiʾa as-sunnīya; none
PPN1763747948; 1766; Arabische Sammelhandschrift; none
PPN1763756637; 1688; Ğarīdat ad-durar wa-ḫarīdat al-fikar; none
PPN1763757188; 1592; Siyar al-auliyāʾ; none
PPN1763757617; 1592; Manāqib al-ʿārifīn; none
PPN1763757994; 1674; Siyar al-ʿārifīn; none
PPN1763758435; 1604; Dastūr al-wuzarāʾ; none
PPN1763758923; 1766; Risāla fi 'l-mīqāt; none
PPN1763759407; 1688; Risāla fi 'l-mīqāt; none
PPN1763759970; 1600; Sammelhandschrift; none
PPN1763775623; 1700; Arabische Sammelhandschrift; none
PPN1763825213; 1472; Arabische Sammelhandschrift; none
PPN1764043677; 1688; al- Maṭlaʿ ʿalā masāʾil al-muqniʿ; none
PPN1764044223; 1825; Natīǧat al-afkār fī ʿamal al-lail wa-'n-nahār; none
PPN1764044673; 1750; Arabische Sammelhandschrift; none
PPN1764243366; 1737; Arabische Sammelhandschrift; none
PPN1764244516; 1509; Sammelhandschrift; none
PPN176424849X; 1600; Arabische Sammelhandschrift; none
PPN1764249771; 1600; Arabische Sammelhandschrift; none
PPN1764615484; 1700; Arabische Sammelhandschrift; none
PPN1764620704; 1592; Sīrat-i Šaiḫ-i kabīr Abū-ʿAbdallāh Ibn-Ḫafīf Šīrāzī; none
PPN1764621506; 1592; Lubāb al-albāb; none
PPN1764622162; 1689; Muḏakkir al-aḥbāb; none
PPN1764778979; 1500; Sammelhandschrift; none
PPN1764779878; 1799; Taḏkira-i Yūsufī; none
PPN1764780515; 1785; Taḏkira-i Ḥusainī; none
PPN1764781147; 1688; Arabische Sammelhandschrift; none
PPN1764786335; 1500; Arabische Sammelhandschrift; none
PPN1764878957; 1700; Münšeʾāt-i laṭīfe; none
PPN1764879880; 1781; Münšeʾāt-i laṭīfe; none
PPN1764954505; 1700; Arabische Sammelhandschrift; none
PPN1765254906; 1854; Persische Sammelhandschrift; none
PPN1765256631; 1600; Sammelhandschrift; none
PPN1765260264; 1548; ʿİbret-nāme; none
PPN1765260655; 1700; [Kalender 1784-1866]; none
PPN1765261074; 1762; [Kalender 1762-1764]; none
PPN1765261562; 1700; [Kalender]; none
PPN1765281016; 1700; Rūz-nāme; none
PPN1765289483; 1723; Sammelhandschrift; none
PPN1765850320; 1800; Sīrat al-Iskandar Ḏū 'l-Qarnain [Fragment]; none
PPN176585329X; 1800; Sīrat al-Iskandar Ḏū 'l-Qarnain [Fragment]; none
